library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,0,6825252,1053114,2104252,5120626,0.06341,0.06341
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,1,6825252,1053114,3086927,6686008,0.07124,0.07124
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,2,6825252,1053114,2360654,4535968,0.0803,0.0803
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,3,6825252,1053114,1318006,2249782,0.09039,0.09039
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,4,6825252,1053114,823875,1185119,0.1073,0.1073
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,0,17461048,1053114,245051,5120626,0.002886,0.002886
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,1,17461048,1053114,1010827,6686008,0.009118,0.009118
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,2,17461048,1053114,1182360,4535968,0.01572,0.01572
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,3,17461048,1053114,921288,2249782,0.0247,0.0247
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,4,17461048,1053114,755384,1185119,0.03844,0.03844
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,0,17551483,1053114,290795,5120626,0.003407,0.003407
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,1,17551483,1053114,936398,6686008,0.008403,0.008403
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,2,17551483,1053114,1095134,4535968,0.01449,0.01449
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,3,17551483,1053114,848287,2249782,0.02262,0.02262
Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,4,17551483,1053114,645765,1185119,0.03269,0.03269
